2025-04-12 17:15:52,803 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:15:52,807 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:15:52,829 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 17:15:55,518 | [INFO] | plugin_manager | Loaded 'ai_agent'
2025-04-12 17:15:55,603 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 17:15:55,605 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 17:15:55,614 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 17:15:55,628 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 17:15:55,631 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 17:17:05,842 | [INFO] | plugin_manager | Loaded 'currency_converter'
2025-04-12 17:17:06,285 | [INFO] | plugin_manager | Loaded 'web_search'
2025-04-12 17:17:06,286 | [INFO] | plugin_manager | Loaded 'system_control'
2025-04-12 17:17:06,287 | [INFO] | plugin_manager | Loaded 'joke_teller'
2025-04-12 17:17:06,289 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 17:17:06,310 | [INFO] | plugin_manager | Loaded 'weather'
2025-04-12 17:17:06,311 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 17:17:06,312 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 17:17:06,317 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 17:17:06,317 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 17:17:06,343 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:17:06,344 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:17:06,344 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 17:17:06,929 | [INFO] | plugin_manager | Loaded 'ai_agent'
